iter	RMSE
0	21.20033775
1	20.32204674
2	19.38907476
3	18.49397762
4	17.68203943
5	16.88910887
6	16.28755294
7	15.56788928
8	14.94265484
9	14.27050744
10	13.66328662
11	13.06345696
12	12.52823207
13	12.00223385
14	11.51142441
15	10.99438287
16	10.58776911
17	10.12802574
18	9.683700033
19	9.291638233
20	8.910025348
21	8.528566818
22	8.205582267
23	7.884159988
24	7.571456796
25	7.323121126
26	7.058886077
27	6.764853342
28	6.5305088
29	6.301781874
30	6.099142037
31	5.881745988
32	5.650449924
33	5.469928467
34	5.293857131
35	5.149385191
36	4.984554726
37	4.834817354
38	4.666436147
39	4.536060159
40	4.396745329
41	4.259093698
42	4.148291878
43	4.026580348
44	3.933272248
45	3.837959465
46	3.74519468
47	3.653301021
48	3.573077381
49	3.501750062
50	3.431671958
51	3.366005062
52	3.308211614
53	3.255364834
54	3.20287206
55	3.159295653
56	3.119547237
57	3.069114565
58	3.021308761
59	2.979843352
60	2.944606741
61	2.910687893
62	2.870268479
63	2.832407443
64	2.805176801
65	2.771706085
66	2.740313364
67	2.718612057
68	2.694429643
69	2.661299675
70	2.634245417
71	2.614033551
72	2.593398217
73	2.5745127
74	2.557947038
75	2.540066233
76	2.526121436
77	2.507860656
78	2.492135655
79	2.473175729
80	2.459103046
81	2.449003572
82	2.436814776
83	2.424102233
84	2.412358319
85	2.402183647
86	2.391721546
87	2.381751422
88	2.361380027
89	2.351617409
90	2.341716083
91	2.333300105
92	2.321259972
93	2.311387357
94	2.304939427
95	2.297112363
96	2.290554154
97	2.282739829
98	2.274579933
99	2.268691748
100	2.26169502
101	2.253424231
102	2.245588843
103	2.232617798
104	2.22132827
105	2.213457374
106	2.208047905
107	2.197152666
108	2.190576873
109	2.184560742
110	2.178353703
111	2.171969
112	2.166879824
113	2.160882439
114	2.154959822
115	2.150214165
116	2.14607319
117	2.140879346
118	2.13484342
119	2.130755656
120	2.124251929
121	2.114873754
122	2.107803989
123	2.104858881
124	2.101182101
125	2.096974075
126	2.089964862
127	2.086531524
128	2.082441087
129	2.07710442
130	2.072308068
131	2.068749502
132	2.063142009
133	2.059562403
134	2.056365409
135	2.052007065
136	2.046933979
137	2.041708026
138	2.037336995
139	2.033780963
140	2.030757183
141	2.025609237
142	2.020255994
143	2.017758517
144	2.015515641
145	2.012546005
146	2.007760364
147	2.004465847
148	2.001218998
149	1.99875097
150	1.994404496
151	1.989984331
152	1.987591078
153	1.9826862
154	1.978125839
155	1.97527509
156	1.969797817
157	1.966106092
158	1.962105601
159	1.960728924
160	1.958328174
161	1.952806897
162	1.950489157
163	1.948042648
164	1.944658849
165	1.940407472
166	1.938083029
167	1.934687717
168	1.932351253
169	1.930148149
170	1.927602511
171	1.921154344
172	1.916453449
173	1.913969026
174	1.911682849
175	1.906062915
176	1.902633296
177	1.89982761
178	1.897267492
179	1.89463487
180	1.890994531
181	1.888534826
182	1.884166658
183	1.882257678
184	1.87975382
185	1.876487565
186	1.873007499
187	1.870698347
188	1.868802989
189	1.866353059
190	1.862137553
191	1.857517401
192	1.852647244
193	1.850045543
194	1.848187122
195	1.84424318
196	1.839892852
197	1.837939105
198	1.836297823
199	1.834035829
200	1.83104524
201	1.827913735
202	1.825473999
203	1.822930144
204	1.819387114
205	1.816280723
206	1.81268163
207	1.810329268
208	1.807532975
209	1.805936469
210	1.802376863
211	1.799586644
212	1.796403707
213	1.794949982
214	1.792728081
215	1.789565274
216	1.787344361
217	1.784795425
218	1.781902492
219	1.779807415
220	1.776539887
221	1.774314919
222	1.771993253
223	1.768869583
224	1.76542551
225	1.762904868
226	1.759109776
227	1.756117116
228	1.753816003
229	1.751386999
230	1.748946813
231	1.746611767
232	1.744515678
233	1.740922591
234	1.738011371
235	1.735535973
236	1.732355048
237	1.730837589
238	1.729204047
239	1.727456837
240	1.724208722
241	1.722235719
242	1.720588276
243	1.71751155
244	1.715541767
245	1.712197098
246	1.710837069
247	1.708831379
248	1.706494272
249	1.704665811
250	1.702718638
251	1.699986698
252	1.698723292
253	1.696792247
254	1.69537017
255	1.69343448
256	1.690162095
257	1.68746923
258	1.685783268
259	1.684272601
260	1.682682618
261	1.679731111
262	1.678556336
263	1.676815423
264	1.675292923
265	1.67248859
266	1.67082723
267	1.667957535
268	1.665974643
269	1.664102982
270	1.661581642
271	1.659100748
272	1.65711723
273	1.655167822
274	1.653345589
275	1.651409312
276	1.649954172
277	1.648412508
278	1.646644754
279	1.644132066
280	1.641697182
281	1.63997984
282	1.638543315
283	1.636836961
284	1.635204295
285	1.633404442
286	1.631750325
287	1.629778191
288	1.627275051
289	1.625859902
290	1.623688485
291	1.621994845
292	1.620249319
293	1.618319861
294	1.615749932
295	1.614006804
296	1.611654395
297	1.609053517
298	1.607959677
299	1.605983774
